"Something went wrong creating products in Yuju","Something went wrong creating products in Yuju",module,Madkting_Connect
"Deleting %1 %2 in Yuju","Deleting %1 %2 in Yuju",module,Madkting_Connect
"There are no new products to delete in selection","There are no new products to delete in selection",module,Madkting_Connect
"Something went wrong deleting products in Yuju","Something went wrong deleting products in Yuju",module,Madkting_Connect
"Updating %1 %2 in Yuju","Updating %1 %2 in Yuju",module,Madkting_Connect
"There are no new products to update in selection","There are no new products to update in selection",module,Madkting_Connect
"Something went wrong updating products in Yuju","Something went wrong updating products in Yuju",module,Madkting_Connect
"Images","Images",module,Madkting_Connect
"Image error %1","Image error %1",module,Madkting_Connect
"Variation","Variation",module,Madkting_Connect
"Variations","Variations",module,Madkting_Connect
"Tasks Queue","Tasks Queue",module,Madkting_Connect
"Success History Lifetime (days)","Success History Lifetime (days)",module,Madkting_Connect
"Failure History Lifetime (days)","Failure History Lifetime (days)",module,Madkting_Connect
"Start Creation From","Start Creation From",module,Madkting_Connect
"Save and Match New Category","Save and Match New Category",module,Madkting_Connect
"%1 min value is %2","%1 min value is %2",module,Madkting_Connect
"%1 max value is %2","%1 max value is %2",module,Madkting_Connect
"Sales Channel","Sales Channel",module,Madkting_Connect
"Enable Order Emails","Enable Order Emails",module,Madkting_Connect
"Order Emails to Send","Order Emails to Send",module,Madkting_Connect
"Order Creation Success","Order Creation Success",module,Madkting_Connect
"Order Creation Failure","Order Creation Failure",module,Madkting_Connect
"There has been an error while processing product, check log registry #%1 for more details","There has been an error while processing product, check log registry #%1 for more details",module,Madkting_Connect
"Max Time to Get Products (seconds)","Max Time to Get Products (seconds)",module,Madkting_Connect
"Error while consulting feeds: %1","Error while consulting feeds: %1",module,Madkting_Connect
"Error while consulting feed %1: %2","Error while consulting feed %1: %2",module,Madkting_Connect
"Module Information","Module Information",module,Madkting_Connect
"Version Number","Version Number",module,Madkting_Connect
"Create Orders with Shipping Address Lacking","Create Orders with Shipping Address Lacking",module,Madkting_Connect
"Order has no shipping address","Order has no shipping address",module,Madkting_Connect
"Stock for no-manage-stock Products","Stock for no-manage-stock Products",module,Madkting_Connect
